latitude,longitude
40.008105,-105.276298
40.008091,-105.276620
39.928061,-105.298050
39.927986,-105.297967
39.939238,-105.275725
39.929950,-105.290375
39.929261,-105.289628
39.929372,-105.288095
39.929797,-105.283845
39.929908,-105.290445
39.929977,-105.283059
39.929680,-105.286392
39.929844,-105.283281
39.927608,-105.291573
39.956494,-105.260314
39.927638,-105.292856
39.927252,-105.294945
39.928177,-105.292481
39.927708,-105.298081
39.927994,-105.298156
39.928025,-105.298050
39.927977,-105.298125
40.010927,-105.252853
39.956097,-105.380348
39.956066,-105.380378
39.956122,-105.380348
39.956238,-105.380317
39.936715,-105.237017
39.936715,-105.237017
39.936715,-105.237017
40.108861,-105.145309
40.065795,-105.405997
40.008206,-105.269343
40.004212,-105.264000
40.004886,-105.262520
40.004541,-105.265974
40.003999,-105.264472
40.004673,-105.265996
40.008601,-105.272326
40.009653,-105.271661
40.009587,-105.269215
40.005823,-105.271360
40.018001,-105.280437
40.017689,-105.281424
40.017977,-105.279986
39.967187,-105.188255
40.006053,-105.261651
40.007237,-105.263721
40.006218,-105.265781
40.007237,-105.263721
40.008650,-105.272047
40.005766,-105.270352
40.148286,-105.226771
39.976258,-105.128509
39.976127,-105.128495
39.976147,-105.128487
40.148286,-105.226771
39.876133,-105.269120
39.875991,-105.269416
40.007283,-105.261070
40.069377,-105.217684
40.069254,-105.217233
40.069106,-105.217716
40.068761,-105.217523
39.921215,-105.331882
40.152448,-105.297743
40.152448,-105.297743
39.982988,-105.248520
40.014277,-105.295639
40.018977,-105.305412
39.993072,-105.289117
40.018977,-105.305412
39.997802,-105.285003
40.014275,-105.295631
39.993072,-105.289117
40.018975,-105.305412
40.018969,-105.305412
40.018969,-105.305412
39.993072,-105.289117
39.942333,-105.235667
39.925333,-105.236167
39.921763,-105.420498
39.921763,-105.420498
39.921763,-105.420498
39.956508,-105.168250
39.953850,-105.232825
39.927958,-105.298125
39.926041,-105.299173
39.957633,-105.442537
40.021552,-105.260742
40.017069,-105.271089
40.002858,-105.272103
40.016747,-105.271928
40.008616,-105.276489
40.008622,-105.270753
40.012397,-105.275545
40.012397,-105.275545
40.012327,-105.275550
40.012316,-105.275545
40.012447,-105.275620
40.012358,-105.275537
39.883947,-105.275727
40.007061,-105.269356
40.007000,-105.269425
39.998977,-105.282981
40.045250,-105.187901
40.023900,-105.256042
40.016611,-105.189056
40.023900,-105.256042
39.878983,-105.276081
40.000663,-105.262737
40.013938,-105.281620
39.879732,-105.279257
39.928888,-105.421028
39.909291,-105.283387
40.039433,-105.184854
40.009694,-105.266695
40.018400,-105.278075
40.153227,-105.299663
40.149603,-105.299953
40.017433,-105.269828
39.956616,-105.167817
39.982983,-105.248512
40.019180,-105.259392
39.983216,-105.248581
39.881823,-105.275394
40.039093,-105.199050
40.040002,-105.189853
40.065977,-105.202370
40.066052,-105.202356
40.065797,-105.202806
40.065808,-105.202239
40.065813,-105.202331
40.065769,-105.203112
40.065833,-105.203073
40.065838,-105.203231
40.065905,-105.202370
40.066027,-105.202339
40.066024,-105.202370
40.065916,-105.202331
40.065752,-105.203225
40.065827,-105.202912
40.065861,-105.203187
40.065911,-105.202531
40.065900,-105.202295
40.065894,-105.202453
40.066036,-105.202392
40.065891,-105.202325
40.066066,-105.202362
40.065769,-105.203095
40.015520,-105.263478
39.953150,-105.358479
39.870219,-105.268623
39.930594,-105.350642
40.019072,-105.259431
40.023655,-105.255998
40.102897,-105.173867
40.101711,-105.169814
40.101983,-105.170412
40.103191,-105.172256
40.009625,-105.265581
40.009633,-105.265612
40.008922,-105.267425
39.931100,-105.282609
39.928842,-105.417916
40.019611,-105.234862
40.019152,-105.259620
40.019250,-105.259414
40.030875,-105.273767
40.023636,-105.255989
40.017836,-105.279892
40.018555,-105.276948
40.018488,-105.277048
40.019836,-105.101845
39.998955,-105.255431
39.879011,-105.275756
40.013344,-105.250900
40.013552,-105.251070
39.983219,-105.248512
39.956680,-105.168123
40.023686,-105.255975
39.932238,-105.279464
39.932186,-105.279542
39.932177,-105.279603
39.931830,-105.277412
39.931850,-105.277428
39.992447,-105.108284
39.873250,-105.273573
40.009077,-105.252337
39.872294,-105.276128
39.889427,-105.275445
39.994572,-105.263962
39.994633,-105.264014
39.994644,-105.263887
39.994355,-105.263573
39.995797,-105.261917
39.995616,-105.261895
39.994350,-105.263564
39.994655,-105.263970
39.994705,-105.264223
39.994666,-105.264153
39.994638,-105.264023
39.994708,-105.264223
