latitude,longitude
40.010927,-105.252853
39.849888,-105.089670
39.931705,-105.281053
39.799510,-105.512630
39.933647,-105.453150
39.928888,-105.421028
39.751330,-105.223123
40.032866,-105.073387
39.794225,-105.153376
40.010639,-105.272176
39.801555,-105.081178
39.750580,-105.247764
39.750506,-105.248830
40.046294,-105.075973
40.155638,-105.129075
40.140372,-105.484864
40.012397,-105.275545
39.855433,-105.252067
39.998977,-105.282981
39.989586,-105.091514
39.932177,-105.279603
39.903646,-105.593762
39.765797,-105.208084
40.009942,-105.052747
40.009694,-105.266695
39.763841,-105.207984
40.011475,-105.270012
39.997153,-105.111823
40.065861,-105.203042
39.876133,-105.269120
39.809322,-105.173370
40.194733,-105.526620
40.216158,-105.358678
39.909448,-105.112252
40.223105,-105.273639
39.769019,-105.213464
39.820052,-105.081689
39.761905,-105.216798
40.017101,-105.192967
40.146833,-105.168639
39.881225,-105.452112
40.148286,-105.226771
39.756017,-105.221969
39.903697,-105.625170
39.902427,-105.612064
39.998905,-105.282739
40.138855,-105.128464
39.763496,-105.211637
40.017383,-105.282853
39.861772,-105.380181
40.000663,-105.262737
39.772009,-105.192912
39.930838,-105.283592
40.073811,-104.974609
39.788386,-105.108170
39.997700,-105.285046
40.160353,-105.101062
39.828116,-105.084206
39.820877,-105.036331
40.017741,-105.278259
39.936216,-105.581334
39.868880,-105.155210
40.021727,-105.247437
40.275247,-105.153828
39.999018,-105.088988
40.179150,-105.071603
40.196427,-105.145203
39.809813,-105.529335
40.017627,-105.281242
39.942822,-105.084020
39.881111,-105.001945
39.928077,-105.606728
39.923140,-105.104624
39.957722,-105.123723
40.018769,-105.262425
39.818689,-105.103862
40.010060,-105.273914
40.029611,-105.292700
40.085188,-105.208381
39.757461,-105.171348
40.228680,-105.273417
39.757575,-105.220292
39.791561,-105.199967
40.006408,-105.271553
39.993450,-105.287912
39.804688,-105.072800
40.086886,-104.990067
39.960811,-105.295987
39.755133,-105.220567
39.916492,-105.502030
39.731949,-105.210356
39.775741,-105.158784
39.887138,-105.066345
39.996627,-105.131806
40.085983,-105.218139
39.922972,-105.638345
40.009841,-105.552109
39.770091,-105.340150
39.771166,-105.193753
40.089622,-105.521175
39.805967,-105.032160
40.018344,-105.277514
40.168877,-105.120223
39.932072,-105.286309
40.022366,-105.226448
39.879321,-105.275770
39.952927,-105.168556
40.050780,-105.286856
39.769177,-105.199814
39.841602,-105.427789
39.909191,-105.111603
40.244263,-105.213323
40.000911,-105.299148
40.027844,-105.442314
40.009797,-105.265831
39.771713,-105.192039
40.012863,-105.239081
40.002355,-105.084131
39.999117,-105.284814
40.114950,-105.161520
40.003019,-105.298616
39.855838,-105.365775
40.015438,-105.211548
39.931825,-105.270423
39.908355,-105.075431
39.954158,-105.232948
39.890644,-105.556573
39.960216,-105.509750
39.873376,-105.277712
39.973061,-105.272348
39.733816,-105.239359
39.873203,-105.276668
39.772637,-105.192699
39.823083,-105.029973
40.171111,-104.982756
39.977089,-105.592832
39.932575,-105.286439
39.902765,-105.598268
40.049541,-105.144966
40.157688,-105.041220
40.206246,-105.131177
39.920888,-105.291945
39.991502,-105.319825
39.756355,-105.224067
40.167927,-105.102617
40.029633,-105.246364
40.054305,-105.273889
39.954383,-105.600315
39.960157,-105.510131
39.930797,-105.283645
39.733580,-105.238487
40.013970,-105.286971
40.162415,-105.100203
39.773694,-105.131070
39.915776,-105.147078
39.910002,-105.478820
39.950741,-105.616481
39.924530,-105.359153
39.931083,-105.383453
39.800128,-105.512663
39.772094,-105.194162
40.013069,-105.297073
39.800610,-105.081396
40.075611,-105.589714
40.218966,-105.257553
39.807563,-105.529335
39.785636,-105.109973
39.771838,-105.192345
39.978911,-105.150800
39.771303,-105.194112
39.995750,-105.285448
39.988400,-104.985589
40.217908,-105.540890
40.019425,-105.279431
39.910641,-104.984064
