latitude,longitude
39.870219,-105.268623
39.871511,-105.268898
39.872044,-105.275889
39.872055,-105.276514
39.872116,-105.268731
39.872122,-105.275867
39.872208,-105.275606
39.872294,-105.276128
39.872319,-105.275892
39.872433,-105.276431
39.872502,-105.269873
39.872672,-105.270217
39.872866,-105.278345
39.873036,-105.276306
39.873038,-105.275995
39.873125,-105.275362
39.873170,-105.277504
39.873175,-105.273631
39.873203,-105.276668
39.873250,-105.273573
39.873291,-105.270812
39.873291,-105.277071
39.873376,-105.277712
39.873515,-105.277489
39.873532,-105.277876
39.873552,-105.272712
39.873702,-105.272645
39.873895,-105.277959
39.874627,-105.280237
39.875033,-105.279173
39.875991,-105.269416
39.876133,-105.269120
39.876186,-105.269355
39.876258,-105.278862
39.876308,-105.281639
39.876447,-105.279198
39.876450,-105.279267
39.876713,-105.281587
39.877019,-105.281287
39.877091,-105.265512
39.877094,-105.265512
39.877102,-105.265550
39.877141,-105.283884
39.877244,-105.279834
39.877411,-105.284753
39.877842,-105.283613
39.878072,-105.284539
39.878372,-105.274823
39.878475,-105.274678
39.878630,-105.274503
39.878661,-105.275800
39.878705,-105.275620
39.878716,-105.275381
39.878730,-105.276050
39.878738,-105.274734
39.878744,-105.275100
39.878830,-105.275839
39.878841,-105.275984
39.878852,-105.277548
39.878855,-105.275675
39.878927,-105.275750
39.878930,-105.275625
39.878958,-105.274995
39.878983,-105.276081
39.879011,-105.275756
39.879131,-105.283602
39.879194,-105.275973
39.879220,-105.276557
39.879321,-105.275770
39.879321,-105.276006
39.879321,-105.277873
39.879329,-105.277841
39.879358,-105.278717
39.879719,-105.281978
39.879732,-105.279257
39.879740,-105.279353
39.879925,-105.274025
39.880033,-105.274517
39.880094,-105.281209
39.880119,-105.281252
39.880144,-105.274895
39.880144,-105.275042
39.880152,-105.274953
39.880202,-105.275128
39.880205,-105.274987
39.880216,-105.274695
39.880347,-105.280834
39.880747,-105.274834
39.880805,-105.275742
39.880933,-105.275670
39.881025,-105.275506
39.881372,-105.275984
39.881420,-105.275223
39.881823,-105.275394
39.882127,-105.273437
39.882341,-105.273645
39.882725,-105.274298
39.882755,-105.274342
39.882758,-105.274342
39.882838,-105.274820
39.883113,-105.274295
39.883172,-105.274828
39.883522,-105.274750
39.883591,-105.231945
39.883652,-105.235362
39.883733,-105.274858
39.883947,-105.275727
39.883956,-105.274729
39.884500,-105.275542
39.884524,-105.275276
39.884622,-105.272753
39.884845,-105.275484
39.884886,-105.274010
39.885194,-105.273448
39.886444,-105.249534
39.886455,-105.249528
39.887586,-105.248114
39.887591,-105.248123
39.887630,-105.248178
39.887636,-105.248178
39.887636,-105.248187
39.887852,-105.249314
39.887855,-105.249314
39.888172,-105.248498
39.888172,-105.248506
39.888525,-105.274012
39.888552,-105.248056
39.888569,-105.248062
39.889039,-105.228681
39.889063,-105.247475
39.889063,-105.247481
39.889069,-105.247528
39.889077,-105.247489
39.889288,-105.247148
39.889427,-105.275445
39.889994,-105.274587
39.890019,-105.274995
39.890061,-105.243409
39.890061,-105.243417
39.890094,-105.244492
39.890133,-105.244537
39.891574,-105.236812
39.891999,-105.275920
39.892385,-105.276049
39.893119,-105.276270
39.895572,-105.276523
39.895952,-105.276234
39.897219,-105.275962
39.897372,-105.275992
39.897611,-105.275431
39.897986,-105.277609
39.898405,-105.278203
39.898613,-105.278559
39.898938,-105.279412
39.899972,-105.272681
39.899980,-105.272667
39.900252,-105.278437
39.901827,-105.259987
39.901861,-105.260078
39.903819,-105.274528
39.903822,-105.275803
39.903972,-105.212867
39.904055,-105.236756
39.904122,-105.269120
39.904161,-105.275559
39.904163,-105.275581
39.904172,-105.275573
39.904724,-105.347449
39.905022,-105.237131
39.905163,-105.279937
39.905211,-105.281731
39.905219,-105.281442
39.905272,-105.237070
39.905363,-105.281714
39.906032,-105.237092
39.906172,-105.283192
39.906225,-105.347591
39.907222,-105.277398
39.907252,-105.277428
39.907258,-105.277420
39.907763,-105.282342
39.907769,-105.281937
39.907861,-105.276298
39.907901,-105.284407
39.907994,-105.277131
39.908097,-105.277009
39.908205,-105.273095
39.908255,-105.280723
39.908263,-105.278175
39.908322,-105.278223
39.908361,-105.281237
39.908377,-105.281228
39.908380,-105.281098
39.908380,-105.281173
39.908405,-105.281137
39.908413,-105.281145
39.908427,-105.280245
39.908836,-105.277756
39.908913,-105.277756
39.909211,-105.281578
39.909291,-105.283387
39.909308,-105.281662
39.909388,-105.281337
39.909619,-105.280231
39.909736,-105.282937
39.910123,-105.311787
39.910647,-105.268259
39.911030,-105.281070
39.911391,-105.299606
39.911494,-105.279789
39.911655,-105.299584
39.911677,-105.299056
39.911683,-105.279700
39.911694,-105.279717
39.911705,-105.299089
39.911722,-105.299050
39.911852,-105.311422
39.911905,-105.281175
39.912513,-105.279381
39.912552,-105.279350
39.914063,-105.271675
39.914146,-105.209716
39.914178,-105.209199
39.914294,-105.294220
39.914758,-105.281559
39.914761,-105.262184
39.914800,-105.262239
39.915677,-105.279984
39.915688,-105.290956
39.915776,-105.147078
39.915902,-105.283256
39.915966,-105.283234
39.916094,-105.203239
39.916138,-105.205123
39.916141,-105.205123
39.916211,-105.283950
39.916502,-105.234481
39.916602,-105.278817
39.916619,-105.278639
39.916652,-105.278795
39.916736,-105.202431
39.916747,-105.238062
39.916827,-105.220170
39.916838,-105.220192
39.916847,-105.220209
39.917072,-105.202348
39.917355,-105.268509
39.917405,-105.200606
39.917430,-105.268495
39.917672,-105.199889
39.917702,-105.219820
39.917836,-105.200248
39.917858,-105.213745
39.917897,-105.200098
39.917961,-105.212487
39.918044,-105.275917
39.918236,-105.199998
39.918236,-105.200006
39.918255,-105.217720
39.918294,-105.219948
39.918299,-105.219956
39.918652,-105.282281
39.918652,-105.282295
39.918961,-105.281556
39.918961,-105.281578
39.918963,-105.281578
39.918980,-105.269098
39.918991,-105.269089
39.919094,-105.207681
39.919158,-105.214523
39.919166,-105.217873
39.919388,-105.267678
39.919505,-105.281284
39.919522,-105.199256
39.919552,-105.249109
39.919561,-105.213220
39.919563,-105.213212
39.919572,-105.213195
39.919572,-105.213220
39.919583,-105.213220
39.919658,-105.211731
39.919811,-105.212198
39.919844,-105.270906
39.919902,-105.269981
39.919952,-105.269684
39.920052,-105.269653
39.920075,-105.201295
39.920100,-105.270273
39.920188,-105.279770
39.920527,-105.205095
39.920888,-105.291945
39.921215,-105.331882
39.921344,-105.279289
39.921347,-105.279281
39.921355,-105.330433
39.921372,-105.222795
39.921372,-105.279281
39.921375,-105.222795
39.921405,-105.291803
39.921647,-105.291206
39.921763,-105.420498
39.922008,-105.294381
39.922269,-105.279181
39.922599,-105.282273
39.922613,-105.284850
39.922700,-105.294578
39.922730,-105.294534
39.922861,-105.279595
39.922961,-105.222275
39.922986,-105.279634
39.922988,-105.279639
39.923119,-105.338212
39.923197,-105.200487
39.923233,-105.279412
39.923247,-105.242312
39.923247,-105.242339
39.923247,-105.279373
39.923288,-105.279564
39.923330,-105.242139
39.923333,-105.241389
39.923333,-105.241945
39.923447,-105.200678
39.923449,-105.200678
39.923511,-105.292581
39.923530,-105.285395
39.923569,-105.218414
39.923580,-105.218431
39.923591,-105.218406
39.923594,-105.278764
39.923602,-105.218400
39.923611,-105.241667
39.923836,-105.240228
39.923849,-105.350145
39.924016,-105.350042
39.924066,-105.265331
39.924191,-105.350064
39.924216,-105.264999
39.924247,-105.235356
39.924252,-105.278345
39.924255,-105.273223
39.924291,-105.350070
39.924305,-105.339073
39.924369,-105.235714
39.924469,-105.271995
39.924477,-105.220564
39.924486,-105.271989
39.924488,-105.271981
39.924494,-105.272028
39.924502,-105.272034
39.924527,-105.264472
39.924530,-105.359153
39.924600,-105.284603
39.924633,-105.235820
39.924694,-105.237670
39.924722,-105.235834
39.924758,-105.278428
39.924763,-105.277856
39.924872,-105.263743
39.924949,-105.235934
39.925052,-105.235995
39.925169,-105.236059
39.925302,-105.236064
39.925333,-105.236167
39.925447,-105.236345
39.925616,-105.217667
39.925919,-105.277178
39.926041,-105.299173
39.926280,-105.407259
39.926511,-105.204187
39.926741,-105.294839
39.927252,-105.294945
39.927430,-105.298073
39.927608,-105.291573
39.927608,-105.291734
39.927638,-105.292856
39.927708,-105.298081
39.927952,-105.298120
39.927952,-105.298134
39.927955,-105.298120
39.927955,-105.298150
39.927958,-105.298125
39.927975,-105.298028
39.927975,-105.298120
39.927977,-105.298125
39.927986,-105.297967
39.927986,-105.298125
39.927994,-105.298156
39.927997,-105.291114
39.927997,-105.298164
39.928019,-105.272453
39.928025,-105.298050
39.928025,-105.298125
39.928027,-105.298042
39.928036,-105.205514
39.928058,-105.298042
39.928061,-105.298050
39.928177,-105.292481
39.928663,-105.292481
39.928663,-105.292489
39.928697,-105.421225
39.928713,-105.170556
39.928842,-105.417916
39.928847,-105.343287
39.928852,-105.343345
39.928888,-105.421028
39.928933,-105.419412
39.928969,-105.421126
39.928982,-105.343394
39.929005,-105.342709
39.929055,-105.290298
39.929073,-105.343480
39.929186,-105.421000
39.929213,-105.275681
39.929213,-105.275712
39.929219,-105.275659
39.929230,-105.275673
39.929233,-105.275689
39.929233,-105.275703
39.929241,-105.275628
39.929241,-105.275720
39.929252,-105.275642
39.929255,-105.275689
39.929261,-105.289628
39.929363,-105.287598
39.929363,-105.289117
39.929372,-105.288095
39.929372,-105.289695
39.929394,-105.290009
39.929408,-105.289978
39.929438,-105.348923
39.929527,-105.286934
39.929538,-105.286964
39.929608,-105.286248
39.929680,-105.286392
39.929797,-105.283845
39.929844,-105.283281
39.929879,-105.344402
39.929904,-105.417197
39.929908,-105.290445
39.929945,-105.344531
39.929950,-105.290375
39.929961,-105.287812
39.929977,-105.283059
39.930000,-105.282884
39.930011,-105.344574
39.930113,-105.280731
39.930149,-105.290355
39.930175,-105.344907
39.930205,-105.345600
39.930266,-105.291984
39.930327,-105.291787
39.930414,-105.345432
39.930425,-105.280975
39.930449,-105.282960
39.930502,-105.406373
39.930555,-105.190728
39.930594,-105.350642
39.930625,-105.420928
39.930644,-105.408203
39.930650,-105.405800
39.930777,-105.291420
39.930805,-105.282181
39.930838,-105.283592
39.930850,-105.420767
39.930855,-105.408959
39.930869,-105.405242
39.930897,-105.290848
39.930897,-105.346442
39.930969,-105.420773
39.931000,-105.420792
39.931013,-105.282425
39.931083,-105.383453
39.931086,-105.282342
39.931088,-105.421135
39.931094,-105.270981
39.931100,-105.282609
39.931146,-105.421221
39.931183,-105.270317
39.931186,-105.282662
39.931205,-105.282303
39.931302,-105.421768
39.931467,-105.421446
39.931469,-105.280984
39.931672,-105.420473
39.931705,-105.281053
39.931727,-105.188500
39.931741,-105.348703
39.931805,-105.277406
39.931830,-105.277412
39.931850,-105.277428
