latitude,longitude
40.008105,-105.276298
39.928058,-105.298042
39.927986,-105.297967
39.931705,-105.281053
39.930897,-105.290848
39.929950,-105.290375
39.929261,-105.289628
39.931469,-105.280984
39.929372,-105.288095
39.929908,-105.290445
39.929680,-105.286392
39.929844,-105.283281
39.930113,-105.280731
39.927608,-105.291734
39.930425,-105.280975
39.927638,-105.292856
39.927252,-105.294945
39.928177,-105.292481
39.928025,-105.298050
39.927975,-105.298120
39.927997,-105.298164
39.928025,-105.298125
39.996708,-105.288703
40.010927,-105.252853
39.928888,-105.421028
39.998938,-105.255264
39.956097,-105.380348
39.956066,-105.380378
39.956238,-105.380317
40.021161,-105.250678
40.019886,-105.237159
39.936715,-105.237017
39.936715,-105.237017
39.936715,-105.237017
39.936715,-105.237017
40.108861,-105.145309
40.008294,-105.270837
40.004212,-105.264000
40.004886,-105.262520
40.004541,-105.265974
40.004673,-105.265996
40.009653,-105.271661
40.009587,-105.269215
40.009784,-105.270674
40.010639,-105.272176
40.018001,-105.280437
40.017689,-105.281424
40.018338,-105.278055
39.967187,-105.188255
40.006053,-105.261651
40.007237,-105.263721
40.006218,-105.265781
40.008650,-105.272047
40.005766,-105.270352
39.976330,-105.128478
39.976147,-105.128487
39.876186,-105.269355
39.875991,-105.269416
40.007283,-105.261070
39.928969,-105.421126
40.069377,-105.217684
40.069254,-105.217233
40.069106,-105.217716
40.068761,-105.217523
39.921215,-105.331882
40.152448,-105.297743
40.152448,-105.297743
40.130993,-105.188233
39.983250,-105.248467
40.014277,-105.295639
40.015288,-105.296198
40.019597,-105.306275
40.018977,-105.305412
40.015141,-105.306442
39.993072,-105.289117
40.019597,-105.306284
40.018969,-105.305412
40.018969,-105.305412
40.015133,-105.306434
40.018969,-105.305412
39.993072,-105.289117
40.018977,-105.305412
39.990894,-105.287078
40.015288,-105.296198
40.018975,-105.305412
39.935833,-105.141167
39.942333,-105.235667
39.935333,-105.141167
40.040205,-105.184972
39.906032,-105.237092
39.921763,-105.420498
39.921763,-105.420498
40.019102,-105.259628
40.023891,-105.256128
39.927958,-105.298125
