latitude,longitude
39.958055,-105.048070
39.931705,-105.281053
39.936715,-105.237017
40.108861,-105.145309
40.005766,-105.270352
39.976258,-105.128509
40.148286,-105.226771
39.876186,-105.269355
40.069106,-105.217716
39.799572,-105.248506
39.912875,-105.045084
40.155638,-105.129075
40.140372,-105.484864
40.012397,-105.275545
39.861088,-105.259534
40.000663,-105.262737
39.984798,-105.522909
40.011475,-105.270012
40.065833,-105.203278
39.997169,-105.114097
40.163277,-105.102464
40.219636,-105.264556
39.870856,-105.154395
40.019836,-105.101845
40.008091,-105.276620
40.222269,-105.356242
39.979958,-105.246842
39.994350,-105.263564
39.982205,-105.291703
39.884524,-105.275276
39.929221,-105.420920
39.861061,-105.414050
40.019119,-105.277694
40.086879,-105.148751
39.921763,-105.420498
39.909448,-105.112252
40.217552,-105.366089
39.995491,-105.261025
40.046241,-105.075884
40.138858,-105.128473
40.015452,-105.277589
40.017702,-105.281006
39.978669,-105.275961
39.850027,-105.360581
39.930777,-105.291420
40.031680,-105.214967
39.917183,-105.507599
39.920815,-105.287760
40.160422,-105.097630
40.167432,-105.096611
39.923247,-105.242339
39.929213,-105.275712
40.019755,-105.273339
40.021663,-105.247428
39.928888,-105.421028
39.982555,-105.109445
39.999018,-105.088988
40.017968,-105.279686
40.022904,-105.223681
39.852288,-105.181031
39.887138,-105.066345
39.996605,-105.131837
40.071969,-105.195975
39.978073,-105.284299
40.009942,-105.052747
39.999905,-105.301498
40.212580,-105.241150
40.014430,-105.283261
40.170897,-105.103364
40.016752,-105.261667
39.848908,-105.365478
39.876391,-105.437995
40.019176,-105.277508
40.017800,-105.280503
40.223213,-105.274925
39.991621,-105.319447
40.008777,-105.267478
40.005715,-105.406612
39.959205,-105.174142
39.984602,-105.249145
40.168391,-105.101875
39.854732,-105.253958
40.013911,-105.309731
40.032188,-105.444098
40.016358,-105.260223
39.856380,-105.098398
40.012863,-105.239081
39.931343,-105.421983
40.228497,-105.273250
40.002355,-105.084131
39.924951,-105.293580
40.183493,-105.176671
39.861347,-105.372742
40.199494,-105.132175
40.015438,-105.211548
39.920888,-105.291945
40.018436,-105.277542
39.997350,-105.285989
40.030162,-105.233861
39.931228,-105.499863
40.003635,-105.281340
39.932216,-105.279327
40.005322,-105.406662
40.111467,-105.284578
39.931794,-105.027742
39.991466,-105.292123
39.819333,-105.166767
39.946949,-105.518562
40.105338,-105.487237
40.013383,-105.309884
40.029633,-105.246364
39.931100,-105.282609
40.011816,-105.288467
40.021955,-105.515367
39.967056,-105.188169
39.930594,-105.378748
40.017673,-105.281134
40.023330,-105.515412
40.098627,-105.030959
39.998205,-105.287142
39.926473,-105.339456
40.014093,-105.310145
39.982627,-105.084092
40.008213,-105.216653
39.935050,-105.022942
39.937447,-105.236792
40.162415,-105.100203
39.930625,-105.420928
39.947355,-105.265481
40.046083,-105.182414
40.004230,-105.306014
39.911922,-105.482881
39.930697,-105.345964
40.171859,-105.107982
39.967613,-105.091042
39.944472,-105.547967
40.017797,-105.326064
40.013833,-105.256334
40.006127,-105.292489
40.017911,-105.279884
39.877842,-105.283613
39.979063,-105.150856
39.989452,-105.290962
39.977961,-105.131931
39.938308,-105.171889
40.018100,-105.278825
40.019400,-105.286959
40.018852,-105.279031
40.210436,-105.285750
40.007936,-105.249900
40.160377,-105.101587
40.008197,-105.264389
40.213355,-105.275481
39.987405,-105.288867
40.147675,-105.300114
39.963397,-105.166489
40.174511,-105.117020
39.845630,-105.144052
39.928414,-105.419869
39.921215,-105.331882
40.019597,-105.306275
39.987047,-105.090778
40.007000,-105.269425
39.957594,-105.442603
40.008622,-105.270753
39.989580,-105.091503
39.917563,-105.510856
39.927958,-105.298125
39.998977,-105.282981
39.928969,-105.421126
40.052258,-105.074539
40.009694,-105.266695
40.009633,-105.265612
39.956066,-105.380378
39.942333,-105.235667
40.019105,-105.277670
39.929980,-105.075578
39.822097,-105.169364
39.919994,-105.090631
39.996708,-105.288703
40.094411,-105.183242
