latitude,longitude
40.008091,-105.276620
39.816069,-105.217034
39.930113,-105.280731
39.928888,-105.421028
39.936715,-105.237017
40.108861,-105.145309
40.008650,-105.272047
40.148286,-105.226771
39.876186,-105.269355
39.812836,-105.265862
39.933647,-105.453150
40.130993,-105.188233
39.982988,-105.248520
40.018977,-105.305412
39.942333,-105.235667
40.155638,-105.129075
39.909291,-105.283387
40.012397,-105.275545
40.007000,-105.269425
40.030408,-105.056618
39.844625,-105.140778
39.984798,-105.522909
40.009694,-105.266695
40.011475,-105.270012
40.019105,-105.277670
40.065983,-105.202370
40.017836,-105.279892
39.876272,-105.438089
39.994725,-105.264275
40.061177,-105.304320
39.991008,-105.319673
39.873088,-105.276285
39.864005,-105.404684
40.006119,-105.292818
40.208065,-105.292747
39.906039,-105.105806
39.880805,-105.275742
39.921763,-105.420498
39.996791,-105.042417
40.216594,-105.358437
39.995491,-105.261025
40.018566,-105.277206
40.138788,-105.128403
39.977766,-105.275353
40.018769,-105.262425
39.812677,-105.266667
40.015458,-105.277245
40.142530,-105.110503
40.183693,-105.175380
39.980008,-105.273453
40.014180,-105.310767
39.929219,-105.275659
40.017463,-105.279564
40.021663,-105.247362
39.982555,-105.109445
39.999018,-105.088988
40.196438,-105.145295
40.228625,-105.273500
39.871202,-105.154727
39.961636,-105.155634
40.017627,-105.281242
40.223575,-105.273670
40.046294,-105.075973
39.870047,-105.070237
40.052158,-105.116845
40.094411,-105.183242
40.088469,-105.189687
40.167930,-105.119889
40.085183,-105.208359
39.946569,-105.167142
39.950375,-105.045128
40.006222,-105.271920
40.163155,-105.101319
40.187383,-105.149598
40.051116,-105.191581
40.071863,-105.195892
39.876391,-105.437995
39.950022,-105.267264
40.203400,-105.180364
40.017968,-105.279686
39.996619,-105.131784
39.927863,-105.298070
40.018605,-105.276787
40.018461,-105.277529
40.211700,-105.270814
40.024699,-105.277114
40.178391,-105.351739
40.188782,-105.177741
40.044794,-105.183504
40.142975,-105.134767
39.978227,-105.273189
39.998328,-105.284300
39.854732,-105.253958
40.068202,-105.292062
39.888691,-105.066931
40.032836,-105.457937
40.016358,-105.260223
40.000663,-105.262737
39.856380,-105.098398
40.012863,-105.239081
40.002347,-105.084131
39.998369,-105.286467
40.171687,-105.140698
39.861736,-105.379953
39.879321,-105.276006
39.999313,-105.309138
40.015438,-105.211548
39.920888,-105.291945
40.005563,-105.406617
39.941253,-105.266489
40.013675,-105.287309
40.017325,-105.282623
39.893825,-105.092409
39.987816,-105.092673
40.028769,-105.259767
39.892688,-105.137017
39.930381,-105.094313
39.814941,-105.279175
40.075469,-105.182695
39.955583,-105.379934
40.019272,-105.277825
39.995024,-105.287196
40.057113,-105.284923
39.997350,-105.285989
40.030162,-105.233861
39.879452,-105.275952
40.005322,-105.406662
39.906493,-105.085301
40.020091,-105.278458
40.025500,-105.516317
39.877130,-105.466582
40.029617,-105.246364
39.944266,-105.526723
40.008922,-105.267425
39.967056,-105.188169
39.931100,-105.282609
40.208958,-105.286698
40.098627,-105.030959
39.919597,-105.283006
39.998205,-105.287142
39.849061,-105.428673
40.008102,-105.216575
39.990438,-105.292262
40.045736,-105.182737
40.004230,-105.306014
39.911922,-105.482881
40.171859,-105.107982
39.968066,-105.091248
40.017909,-105.280062
40.005647,-105.406339
40.017797,-105.326064
40.000204,-105.263398
39.880119,-105.281252
40.017911,-105.279884
39.978911,-105.150800
39.991621,-105.319447
39.978122,-105.276253
39.964855,-105.164050
39.993626,-105.283720
40.027121,-105.249806
39.961880,-105.510728
39.995435,-105.287100
40.212686,-105.251330
39.932216,-105.279327
39.931794,-105.027742
39.935050,-105.022942
39.930625,-105.420928
39.908802,-105.111306
39.915776,-105.147078
39.916680,-105.519495
40.008666,-105.266334
39.930697,-105.345964
40.186348,-105.135995
40.006127,-105.292489
39.917563,-105.510856
40.032866,-105.073387
39.872200,-105.109742
39.822097,-105.169364
40.068761,-105.217523
40.002844,-105.272103
39.987047,-105.090778
39.998977,-105.282981
40.009625,-105.265581
39.956238,-105.380317
39.957608,-105.442589
40.140372,-105.484864
39.989586,-105.091514
39.927958,-105.298125
39.929980,-105.075578
40.163277,-105.102464
39.928969,-105.421126
39.883947,-105.275727
39.996708,-105.288703
39.934283,-105.050225
40.086879,-105.148751
