latitude,longitude
39.849797,-105.089637
39.929680,-105.286392
39.757600,-105.220323
40.197945,-105.206547
39.902583,-105.598945
40.052258,-105.074539
40.004886,-105.262520
39.801555,-105.081178
40.088732,-105.207428
39.875991,-105.269416
39.754280,-105.233728
39.828116,-105.084206
39.752761,-105.237809
39.996733,-105.533745
40.046241,-105.075884
39.794272,-105.153350
39.903711,-105.626871
40.155638,-105.129075
39.917927,-104.939292
39.778416,-105.104103
40.000663,-105.262737
39.914394,-104.954681
40.065894,-105.202453
39.809363,-105.173456
40.163277,-105.102464
40.194733,-105.526620
40.009625,-105.265581
39.858513,-105.061517
39.801280,-105.513323
40.227272,-105.349531
39.878072,-105.284539
39.931580,-104.928059
39.999675,-105.281120
40.027598,-105.524797
39.824016,-105.087534
39.905720,-105.589706
39.881225,-105.452112
39.902427,-105.612064
40.000075,-105.071367
40.144086,-105.151817
39.756098,-105.221943
39.822097,-105.169364
40.206325,-105.296914
40.087183,-105.148912
39.927975,-105.298028
40.018566,-105.277206
40.138855,-105.128464
39.771297,-105.192400
39.977766,-105.275353
39.861691,-105.380150
40.031625,-105.214998
40.065302,-104.979837
39.788127,-105.108314
39.924633,-105.235820
39.799749,-105.515323
39.873736,-104.983970
40.014180,-105.310767
39.853955,-105.002992
39.801722,-105.096339
39.930936,-105.281867
39.881111,-105.001945
40.019066,-105.274331
39.811667,-105.036613
39.935166,-105.580470
40.052158,-105.116845
40.028375,-105.248848
40.088469,-105.189687
40.009942,-105.052747
40.029611,-105.292700
40.085205,-105.208350
39.759650,-105.180412
39.745808,-105.168259
39.791561,-105.199967
40.004661,-105.260978
40.007250,-105.272037
39.804688,-105.072800
39.945463,-105.276023
40.085399,-104.936782
39.852288,-105.181031
39.887247,-105.066314
40.016258,-105.254814
40.085902,-105.222420
39.915035,-105.600507
39.888569,-105.248062
39.755776,-105.221718
39.942513,-105.078339
39.908469,-105.494187
39.769986,-105.337228
39.771461,-105.192364
40.018344,-105.277514
39.932072,-105.286309
40.223213,-105.274925
40.008811,-105.267495
40.005715,-105.406612
39.955341,-105.166351
39.733963,-105.239398
40.058155,-105.322264
40.002488,-105.227731
39.941502,-105.261142
40.106002,-105.151795
40.015072,-105.296303
39.983569,-105.268334
39.900069,-105.015420
39.817387,-105.103068
39.859894,-105.070698
39.986655,-105.292218
39.847352,-105.032188
40.018860,-105.278259
40.075469,-105.182695
39.955583,-105.379934
39.772006,-105.192559
39.999955,-105.291445
39.805477,-105.107834
39.739852,-105.259200
39.932216,-105.279327
39.786713,-105.110956
40.167286,-105.103178
39.808786,-105.216498
39.851002,-105.208273
39.733601,-105.238546
39.862205,-105.061042
39.997350,-105.285989
39.753469,-105.240245
39.912550,-105.608707
39.798224,-105.513392
39.732505,-105.238320
39.756931,-105.222589
40.087522,-105.211562
39.944160,-105.526758
40.005552,-105.406664
39.902444,-105.085473
40.086894,-105.594392
40.011733,-105.342948
39.991002,-105.238481
40.174308,-105.033364
40.025500,-105.516317
40.029633,-105.246364
39.787374,-105.221385
39.746947,-105.221381
39.960157,-105.510131
39.930861,-105.284562
39.930594,-105.378748
39.914394,-105.207953
40.008102,-105.216575
39.773694,-105.131070
39.766275,-105.207985
39.902625,-105.614259
39.948058,-105.574639
39.856330,-105.262206
39.849741,-105.374162
39.879321,-105.276006
40.015438,-105.211548
40.013938,-105.281620
39.920888,-105.291945
40.040386,-105.188467
39.733588,-105.238595
39.775619,-105.234878
39.991621,-105.319447
40.178391,-105.351739
39.925052,-105.235995
39.984602,-105.249145
40.168391,-105.101875
40.018861,-105.256045
40.073586,-104.980303
39.990669,-105.262520
40.057113,-105.284923
40.212686,-105.251330
39.893450,-105.276403
39.903697,-105.625170
39.800705,-105.512663
40.168000,-105.102731
40.087396,-105.208940
40.013970,-105.286971
39.780180,-105.092478
39.902202,-105.613984
40.009930,-105.267648
39.770991,-105.191278
40.017909,-105.280062
39.775833,-105.157570
39.798077,-105.065445
39.929155,-105.275784
39.982627,-105.084092
40.104088,-104.980667
39.908802,-105.111306
39.772460,-105.193662
39.906929,-105.573034
40.008666,-105.266334
39.771725,-105.192292
39.771513,-105.193192
39.799406,-105.080301
40.017797,-105.326064
39.827962,-105.034747
